name,img,description,totalepisodes,ep,title,type
Fullmetal Alchemist,./img/Bleach-Wallpaper.jpg,"Fullmetal Alchemist was an anime series that ran from 2003 to 2004. In total 51 episodes of Fullmetal Alchemist were aired. With a total of 3 reported filler episodes, Fullmetal Alchemist has a very low filler percentage of 6%. Set in a fictional universe in which alchemy is one of the most advanced scientific techniques, the story follows the brothers Edward and Alphonse Elric, who are searching for a Philosopher's Stone to restore their bodies after a disastrous failed attempt to bring their mother back to life through alchemy.",51,,,
,,,,1,Those who challenge the sun,Canon
,,,,2,Body of the sanctioned,Canon
,,,,3,Mother,Canon
,,,,4,A Forger's love,Filler
,,,,5,The man with the mechanical arm,Canon
,,,,,,
,,,,,,
,,,,,,
,,,,,,
